Folder 1, Folder 2 ,Folder 3,ImageName
COVID-19_Radiography_Dataset,Normal,images,Normal-2625.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2626.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2627.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2628.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2629.png
COVID-19_Radiography_Dataset,Normal,images,Normal-263.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2630.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2631.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2632.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2633.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2634.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2635.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2636.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2637.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2638.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2639.png
COVID-19_Radiography_Dataset,Normal,images,Normal-264.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2640.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2641.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2642.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2643.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2644.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2645.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2646.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2647.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2648.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2649.png
COVID-19_Radiography_Dataset,Normal,images,Normal-265.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2650.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2651.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2652.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2653.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2654.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2655.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2656.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2657.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2658.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2659.png
COVID-19_Radiography_Dataset,Normal,images,Normal-266.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2660.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2661.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2662.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2663.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2664.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2665.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2666.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2667.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2668.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2669.png
COVID-19_Radiography_Dataset,Normal,images,Normal-267.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2670.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2671.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2672.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2673.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2674.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2675.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2676.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2677.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2678.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2679.png
COVID-19_Radiography_Dataset,Normal,images,Normal-268.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2680.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2681.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2682.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2683.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2684.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2685.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2686.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2687.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2688.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2689.png
COVID-19_Radiography_Dataset,Normal,images,Normal-269.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2690.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2691.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2692.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2693.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2694.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2695.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2696.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2697.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2698.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2699.png
COVID-19_Radiography_Dataset,Normal,images,Normal-27.png
COVID-19_Radiography_Dataset,Normal,images,Normal-270.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2700.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2701.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2702.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2703.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2704.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2705.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2706.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2707.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2708.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2709.png
COVID-19_Radiography_Dataset,Normal,images,Normal-271.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2710.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2711.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2712.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2713.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2714.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2715.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2716.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2717.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2718.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2719.png
COVID-19_Radiography_Dataset,Normal,images,Normal-272.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2720.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2721.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2722.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2723.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2724.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2725.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2726.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2727.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2728.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2729.png
COVID-19_Radiography_Dataset,Normal,images,Normal-273.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2730.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2731.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2732.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2733.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2734.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2735.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2736.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2737.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2738.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2739.png
COVID-19_Radiography_Dataset,Normal,images,Normal-274.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2740.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2741.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2742.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2743.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2744.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2745.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2746.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2747.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2748.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2749.png
COVID-19_Radiography_Dataset,Normal,images,Normal-275.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2750.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2751.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2752.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2753.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2754.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2755.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2756.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2757.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2758.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2759.png
COVID-19_Radiography_Dataset,Normal,images,Normal-276.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2760.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2761.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2762.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2763.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2764.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2765.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2766.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2767.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2768.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2769.png
COVID-19_Radiography_Dataset,Normal,images,Normal-277.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2770.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2771.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2772.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2773.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2774.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2775.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2776.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2777.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2778.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2779.png
COVID-19_Radiography_Dataset,Normal,images,Normal-278.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2780.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2781.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2782.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2783.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2784.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2785.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2786.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2787.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2788.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2789.png
COVID-19_Radiography_Dataset,Normal,images,Normal-279.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2790.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2791.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2792.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2793.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2794.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2795.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2796.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2797.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2798.png
COVID-19_Radiography_Dataset,Normal,images,Normal-2799.png
COVID-19_Radiography_Dataset,Normal,images,Normal-28.png
COVID-19_Radiography_Dataset,Normal,images,Normal-280.png
